p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,index
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:30.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:30.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:31.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:31.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:32.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:32.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:33.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:33.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:34.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:34.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:35.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:35.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:36.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:36.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:37.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:37.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:38.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:38.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:39.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:39.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:40.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:40.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:41.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:41.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:42.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:42.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:43.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:43.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:44.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:44.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:45.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:45.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:46.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:46.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:47.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:47.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:48.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:48.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:49.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:49.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:50.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:50.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:51.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:51.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:52.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:52.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:53.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:53.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:54.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:54.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:55.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:55.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:56.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:56.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:57.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:57.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:58.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:58.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:59.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:59.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:00.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:00.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:01.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:01.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:02.017000
